label,avg_packet_size,inter_packet_interval_ms,packets_per_minute,burstiness
sensor_node,75.35,4620.01,12.99,0.013
sensor_node,65.36,5189.18,11.56,0.133
sensor_node,81.41,4669.55,12.85,0.057
sensor_node,60.72,4774.91,12.57,0.082
sensor_node,60.64,4759.07,12.61,0.125
sensor_node,73.08,4776.35,12.56,0.107
sensor_node,79.43,4605.2,13.03,0.172
sensor_node,76.76,4872.2,12.31,0.0
sensor_node,82.97,4869.28,12.32,0.0
sensor_node,62.32,5278.0,11.37,0.111
sensor_node,79.37,5183.79,11.57,0.091
sensor_node,83.35,4902.83,12.24,0.096
sensor_node,79.91,5094.82,11.78,0.189
sensor_node,73.86,5163.66,11.62,0.0
sensor_node,65.47,4831.51,12.42,0.0
sensor_node,65.59,4680.8,12.82,0.013
sensor_node,75.26,4891.87,12.27,0.041
sensor_node,65.03,4813.58,12.46,0.211
sensor_node,75.55,5087.3,11.79,0.0
sensor_node,77.5,4730.72,12.68,0.044
sensor_node,83.75,5112.0,11.74,0.097
sensor_node,76.43,5274.28,11.38,0.163
sensor_node,65.5,4625.68,12.97,0.025
sensor_node,66.43,4768.79,12.58,0.213
sensor_node,81.03,4851.74,12.37,0.127
sensor_node,69.5,5331.64,11.25,0.068
sensor_node,66.36,4797.3,12.51,0.098
sensor_node,66.31,5067.67,11.84,0.199
sensor_node,69.59,4775.46,12.56,0.229
sensor_node,72.23,4672.73,12.84,0.0
sensor_node,62.63,5101.96,11.76,0.168
sensor_node,70.13,4650.82,12.9,0.044
sensor_node,83.91,5023.29,11.94,0.221
sensor_node,80.66,4609.18,13.02,0.146
sensor_node,76.36,5029.58,11.93,0.01
sensor_node,75.38,4689.24,12.8,0.06
sensor_node,70.89,5363.05,11.19,0.193
sensor_node,66.32,5000.47,12.0,0.0
sensor_node,81.9,5296.41,11.33,0.02
sensor_node,75.33,5087.18,11.79,0.0
sensor_node,78.3,5031.5,11.92,0.164
sensor_node,72.73,4600.46,13.04,0.027
sensor_node,60.47,5343.28,11.23,0.194
sensor_node,79.96,4846.01,12.38,0.0
sensor_node,81.07,5357.56,11.2,0.0
sensor_node,71.66,4655.37,12.89,0.158
sensor_node,78.38,4702.71,12.76,0.073
sensor_node,73.2,4812.05,12.47,0.192
sensor_node,70.16,4769.44,12.58,0.092
sensor_node,77.52,4760.92,12.6,0.024
sensor_node,83.88,5119.9,11.72,0.061
sensor_node,72.42,4696.8,12.77,0.0
sensor_node,68.11,5070.65,11.83,0.0
sensor_node,65.29,4656.79,12.88,0.119
sensor_node,65.49,5324.34,11.27,0.188
sensor_node,61.7,4790.4,12.53,0.131
sensor_node,65.14,4705.85,12.75,0.211
sensor_node,73.71,4978.14,12.05,0.165
sensor_node,79.38,4752.33,12.63,0.0
sensor_node,70.35,4938.86,12.15,0.07
sensor_node,77.5,5138.69,11.68,0.225
sensor_node,62.36,4922.1,12.19,0.032
sensor_node,80.68,4798.93,12.5,0.0
sensor_node,70.77,4937.51,12.15,0.014
sensor_node,66.0,5338.61,11.24,0.063
sensor_node,80.67,5040.26,11.9,0.0
sensor_node,83.98,5268.82,11.39,0.221
sensor_node,82.23,5278.96,11.37,0.0
sensor_node,71.66,4771.0,12.58,0.05
sensor_node,61.41,4903.18,12.24,0.226
sensor_node,66.36,5227.26,11.48,0.067
sensor_node,70.15,5365.85,11.18,0.229
sensor_node,73.34,5174.73,11.59,0.0
sensor_node,67.12,5374.97,11.16,0.104
sensor_node,73.01,5198.38,11.54,0.0
sensor_node,74.02,5002.28,11.99,0.186
sensor_node,63.78,5368.62,11.18,0.0
sensor_node,64.46,5076.03,11.82,0.133
sensor_node,65.64,4695.91,12.78,0.197
sensor_node,65.91,5075.62,11.82,0.116
sensor_node,70.06,5066.94,11.84,0.087
sensor_node,82.43,4763.41,12.6,0.145
sensor_node,65.73,4916.63,12.2,0.132
sensor_node,67.2,4852.94,12.36,0.156
sensor_node,61.74,4966.63,12.08,0.23
sensor_node,83.91,4658.61,12.88,0.0
sensor_node,66.36,5346.61,11.22,0.194
sensor_node,81.1,4895.62,12.26,0.0
sensor_node,80.01,5162.83,11.62,0.114
sensor_node,83.69,5123.18,11.71,0.0
sensor_node,79.61,4839.5,12.4,0.129
sensor_node,82.53,4707.43,12.75,0.0
sensor_node,62.57,5042.58,11.9,0.012
sensor_node,74.52,5174.09,11.6,0.0
sensor_node,75.22,4811.19,12.47,0.077
sensor_node,81.73,5276.88,11.37,0.0
sensor_node,70.17,4821.34,12.44,0.0
sensor_node,78.51,5109.69,11.74,0.009
sensor_node,77.79,5041.34,11.9,0.058
sensor_node,60.23,4660.2,12.87,0.195
sensor_node,81.69,5036.47,11.91,0.18
sensor_node,73.98,4718.48,12.72,0.0
sensor_node,67.4,5319.19,11.28,0.169
sensor_node,80.66,5319.14,11.28,0.0
sensor_node,65.99,4682.23,12.81,0.164
sensor_node,81.22,4925.1,12.18,0.116
sensor_node,63.71,5343.9,11.23,0.189
sensor_node,83.43,5248.62,11.43,0.194
sensor_node,60.59,5189.25,11.56,0.03
sensor_node,82.34,5241.79,11.45,0.189
sensor_node,79.46,4813.44,12.47,0.166
sensor_node,62.59,5297.73,11.33,0.188
sensor_node,65.34,5253.27,11.42,0.068
sensor_node,67.32,5236.28,11.46,0.0
sensor_node,60.57,4754.5,12.62,0.028
sensor_node,80.74,5373.51,11.17,0.014
sensor_node,75.4,4919.74,12.2,0.224
sensor_node,72.87,5351.39,11.21,0.0
sensor_node,83.29,4742.85,12.65,0.219
sensor_node,66.37,4686.72,12.8,0.06
sensor_node,77.49,4850.94,12.37,0.112
sensor_node,72.27,4908.16,12.22,0.103
sensor_node,66.11,5167.03,11.61,0.0
sensor_node,82.21,5030.76,11.93,0.146
sensor_node,77.81,5136.5,11.68,0.039
sensor_node,61.68,5131.39,11.69,0.029
sensor_node,67.53,5278.41,11.37,0.146
sensor_node,67.21,4847.43,12.38,0.053
sensor_node,69.66,4836.52,12.41,0.0
sensor_node,70.09,5352.29,11.21,0.133
sensor_node,81.67,5092.41,11.78,0.02
sensor_node,73.15,4600.32,13.04,0.016
